CNPJ,COMPANY_NAME,FANTASY_NAME,ADDRESS,NUMBER,COMPLEMENT,NEIGHBORHOOD,ZIP_CODE,MUNICIPALITY,STATE,FLAG,PRODUCT, UNIT_OF_MEASUREMENT,RETAIL_PRICE,DATE_OF_COLLECTION
6243491000188,STAR SHOPPING AUTO POSTO EIRELI,,RUA GUAPORE,1588,,JARDIM PALMARES,86025000,LONDRINA,PARANA,IPIRANGA,GASOLINA COMUM,R$ / litro,4.99,2023-02-07
6308544000100,POSTO FARIA LIMA LTDA.,POSTO UNIVERSITÁRIO,AVENIDA PREFEITO FARIA LIMA,1040,,JARDIM UNIVERSITÁRIO,86061450,LONDRINA,PARANA,BRANCA,ETANOL,R$ / litro,3.89,2023-02-07
6308544000100,POSTO FARIA LIMA LTDA.,POSTO UNIVERSITÁRIO,AVENIDA PREFEITO FARIA LIMA,1040,,JARDIM UNIVERSITÁRIO,86061450,LONDRINA,PARANA,BRANCA,DIESEL S10,R$ / litro,6.39,2023-02-07
6308544000100,POSTO FARIA LIMA LTDA.,POSTO UNIVERSITÁRIO,AVENIDA PREFEITO FARIA LIMA,1040,,JARDIM UNIVERSITÁRIO,86061450,LONDRINA,PARANA,BRANCA,GASOLINA ADITIVADA,R$ / litro,4.99,2023-02-07
6308544000100,POSTO FARIA LIMA LTDA.,POSTO UNIVERSITÁRIO,AVENIDA PREFEITO FARIA LIMA,1040,,JARDIM UNIVERSITÁRIO,86061450,LONDRINA,PARANA,BRANCA,GASOLINA COMUM,R$ / litro,4.97,2023-02-07
2742111000280,J.B. RODRIGUES JUNIOR & CIA LTDA,AUTO POSTO CEASA,AVENIDA BRASÍLIA,10,,LINDÓIA,86031770,LONDRINA,PARANA,VIBRA ENERGIA,ETANOL,R$ / litro,3.75,2023-02-07
2742111000280,J.B. RODRIGUES JUNIOR & CIA LTDA,AUTO POSTO CEASA,AVENIDA BRASÍLIA,10,,LINDÓIA,86031770,LONDRINA,PARANA,VIBRA ENERGIA,DIESEL S10,R$ / litro,6.09,2023-02-07
2742111000280,J.B. RODRIGUES JUNIOR & CIA LTDA,AUTO POSTO CEASA,AVENIDA BRASÍLIA,10,,LINDÓIA,86031770,LONDRINA,PARANA,VIBRA ENERGIA,DIESEL S500,R$ / litro,5.99,2023-02-07
2742111000280,J.B. RODRIGUES JUNIOR & CIA LTDA,AUTO POSTO CEASA,AVENIDA BRASÍLIA,10,,LINDÓIA,86031770,LONDRINA,PARANA,VIBRA ENERGIA,GASOLINA COMUM,R$ / litro,4.84,2023-02-07
2507174000170,AUTO POSTO E SERVICOS ENERGY LTDA,ENERGY,AVENIDA WINSTON CHURCHILL,1500,,PARQUE OURO VERDE,86080120,LONDRINA,PARANA,BRANCA,ETANOL,R$ / litro,3.69,2023-02-08
2507174000170,AUTO POSTO E SERVICOS ENERGY LTDA,ENERGY,AVENIDA WINSTON CHURCHILL,1500,,PARQUE OURO VERDE,86080120,LONDRINA,PARANA,BRANCA,DIESEL S500,R$ / litro,6.34,2023-02-08
2507174000170,AUTO POSTO E SERVICOS ENERGY LTDA,ENERGY,AVENIDA WINSTON CHURCHILL,1500,,PARQUE OURO VERDE,86080120,LONDRINA,PARANA,BRANCA,GASOLINA COMUM,R$ / litro,4.99,2023-02-08
3503578000159,POSTO CINCAO LTDA,POSTO CINCAO,AVENIDA SAUL ELKIND,2850,,JARDIM ATENAS,86082000,LONDRINA,PARANA,BRANCA,ETANOL,R$ / litro,3.89,2023-02-08
3503578000159,POSTO CINCAO LTDA,POSTO CINCAO,AVENIDA SAUL ELKIND,2850,,JARDIM ATENAS,86082000,LONDRINA,PARANA,BRANCA,DIESEL S500,R$ / litro,5.89,2023-02-08
3503578000159,POSTO CINCAO LTDA,POSTO CINCAO,AVENIDA SAUL ELKIND,2850,,JARDIM ATENAS,86082000,LONDRINA,PARANA,BRANCA,GASOLINA COMUM,R$ / litro,4.88,2023-02-08
3679036000131,MIMIPETRO - COMERCIO DE COMBUSTIVEIS LTDA,POSTO SANTO EXPEDITO 5,AVENIDA GUILHERME DE ALMEIDA,1587,,PARQUE DAS INDUSTRIA,86042001,LONDRINA,PARANA,CIAPETRO,ETANOL,R$ / litro,3.85,2023-02-06
3679036000131,MIMIPETRO - COMERCIO DE COMBUSTIVEIS LTDA,POSTO SANTO EXPEDITO 5,AVENIDA GUILHERME DE ALMEIDA,1587,,PARQUE DAS INDUSTRIA,86042001,LONDRINA,PARANA,CIAPETRO,DIESEL S10,R$ / litro,6.4,2023-02-06
3679036000131,MIMIPETRO - COMERCIO DE COMBUSTIVEIS LTDA,POSTO SANTO EXPEDITO 5,AVENIDA GUILHERME DE ALMEIDA,1587,,PARQUE DAS INDUSTRIA,86042001,LONDRINA,PARANA,CIAPETRO,DIESEL S500,R$ / litro,6.25,2023-02-06
3679036000131,MIMIPETRO - COMERCIO DE COMBUSTIVEIS LTDA,POSTO SANTO EXPEDITO 5,AVENIDA GUILHERME DE ALMEIDA,1587,,PARQUE DAS INDUSTRIA,86042001,LONDRINA,PARANA,CIAPETRO,GASOLINA ADITIVADA,R$ / litro,5.2,2023-02-06
3679036000131,MIMIPETRO - COMERCIO DE COMBUSTIVEIS LTDA,POSTO SANTO EXPEDITO 5,AVENIDA GUILHERME DE ALMEIDA,1587,,PARQUE DAS INDUSTRIA,86042001,LONDRINA,PARANA,CIAPETRO,GASOLINA COMUM,R$ / litro,5.09,2023-02-06
3468440000166,PETROBAND COMERCIO DE COMBUSTVEIS LTDA,AUTO POSTO BAND,AVENIDA DUQUE DE CAXIAS,1626,,VILA BRASIL,86015000,LONDRINA,PARANA,BRANCA,ETANOL,R$ / litro,3.76,2023-02-06
3468440000166,PETROBAND COMERCIO DE COMBUSTVEIS LTDA,AUTO POSTO BAND,AVENIDA DUQUE DE CAXIAS,1626,,VILA BRASIL,86015000,LONDRINA,PARANA,BRANCA,GASOLINA ADITIVADA,R$ / litro,4.94,2023-02-06
3468440000166,PETROBAND COMERCIO DE COMBUSTVEIS LTDA,AUTO POSTO BAND,AVENIDA DUQUE DE CAXIAS,1626,,VILA BRASIL,86015000,LONDRINA,PARANA,BRANCA,GASOLINA COMUM,R$ / litro,4.92,2023-02-06
4074366000166,M. ESPERANDIO & CIA LTDA,AUTO POSTO RIO ARAGUAIA,RUA ARAGUAIA,1089,,VILA AGARI,86025720,LONDRINA,PARANA,BRANCA,ETANOL,R$ / litro,3.65,2023-02-07
4074366000166,M. ESPERANDIO & CIA LTDA,AUTO POSTO RIO ARAGUAIA,RUA ARAGUAIA,1089,,VILA AGARI,86025720,LONDRINA,PARANA,BRANCA,DIESEL S10,R$ / litro,5.99,2023-02-07
4074366000166,M. ESPERANDIO & CIA LTDA,AUTO POSTO RIO ARAGUAIA,RUA ARAGUAIA,1089,,VILA AGARI,86025720,LONDRINA,PARANA,BRANCA,DIESEL S500,R$ / litro,5.89,2023-02-07
4074366000166,M. ESPERANDIO & CIA LTDA,AUTO POSTO RIO ARAGUAIA,RUA ARAGUAIA,1089,,VILA AGARI,86025720,LONDRINA,PARANA,BRANCA,GASOLINA ADITIVADA,R$ / litro,4.75,2023-02-07
4074366000166,M. ESPERANDIO & CIA LTDA,AUTO POSTO RIO ARAGUAIA,RUA ARAGUAIA,1089,,VILA AGARI,86025720,LONDRINA,PARANA,BRANCA,GASOLINA COMUM,R$ / litro,4.75,2023-02-07
3774798000117,ACP COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,,RUA DUQUE DE CAXIAS,4090,,CENTRO,86026070,LONDRINA,PARANA,BRANCA,ETANOL,R$ / litro,3.69,2023-02-06
3774798000117,ACP COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,,RUA DUQUE DE CAXIAS,4090,,CENTRO,86026070,LONDRINA,PARANA,BRANCA,DIESEL S10,R$ / litro,5.95,2023-02-06
3774798000117,ACP COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,,RUA DUQUE DE CAXIAS,4090,,CENTRO,86026070,LONDRINA,PARANA,BRANCA,DIESEL S500,R$ / litro,5.83,2023-02-06
3774798000117,ACP COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,,RUA DUQUE DE CAXIAS,4090,,CENTRO,86026070,LONDRINA,PARANA,BRANCA,GASOLINA COMUM,R$ / litro,4.79,2023-02-06
1270349000106,KALAHAN COMERCIO DE COMBUSTIVEIS LTDA,AUTO POSTO LEBLON,AVENIDA SAUL ELKIND,2100,,CONJUNTO VIVI XAVIER,86082000,LONDRINA,PARANA,RAIZEN,ETANOL,R$ / litro,3.99,2023-02-08
1270349000106,KALAHAN COMERCIO DE COMBUSTIVEIS LTDA,AUTO POSTO LEBLON,AVENIDA SAUL ELKIND,2100,,CONJUNTO VIVI XAVIER,86082000,LONDRINA,PARANA,RAIZEN,DIESEL S10,R$ / litro,6.89,2023-02-08
1270349000106,KALAHAN COMERCIO DE COMBUSTIVEIS LTDA,AUTO POSTO LEBLON,AVENIDA SAUL ELKIND,2100,,CONJUNTO VIVI XAVIER,86082000,LONDRINA,PARANA,RAIZEN,DIESEL S500,R$ / litro,6.79,2023-02-08
1270349000106,KALAHAN COMERCIO DE COMBUSTIVEIS LTDA,AUTO POSTO LEBLON,AVENIDA SAUL ELKIND,2100,,CONJUNTO VIVI XAVIER,86082000,LONDRINA,PARANA,RAIZEN,GASOLINA ADITIVADA,R$ / litro,5.29,2023-02-08
1270349000106,KALAHAN COMERCIO DE COMBUSTIVEIS LTDA,AUTO POSTO LEBLON,AVENIDA SAUL ELKIND,2100,,CONJUNTO VIVI XAVIER,86082000,LONDRINA,PARANA,RAIZEN,GASOLINA COMUM,R$ / litro,4.99,2023-02-08
73558000105,AUTO POSTO JARDINS LTDA,POSTO JARDINS,AVENIDA RIBEIRO DE BARROS,45,,JARDIM AEROPORTO,86039620,LONDRINA,PARANA,BRANCA,ETANOL,R$ / litro,3.79,2023-02-06
73558000105,AUTO POSTO JARDINS LTDA,POSTO JARDINS,AVENIDA RIBEIRO DE BARROS,45,,JARDIM AEROPORTO,86039620,LONDRINA,PARANA,BRANCA,DIESEL S10,R$ / litro,5.99,2023-02-06
73558000105,AUTO POSTO JARDINS LTDA,POSTO JARDINS,AVENIDA RIBEIRO DE BARROS,45,,JARDIM AEROPORTO,86039620,LONDRINA,PARANA,BRANCA,GASOLINA ADITIVADA,R$ / litro,4.99,2023-02-06
